dataset,task,task_type,legacy_gate,dfs_seeds,fdhg_seeds,paired_seeds,canonical_strict_ready,available_paired_metrics
rel-amazon,item-churn,binary_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-amazon,user-churn,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-arxiv,paper-citation,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-f1,driver-dnf,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-ratebeer,beer-churn,binary_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-ratebeer,beer_ratings-total_score,regression,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"rmse,mae,r2"
rel-ratebeer,brewer-dormant,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-ratebeer,user-churn,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
rel-ratebeer,user-count,regression,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"rmse,mae,r2"
rel-salt,item-incoterms,multiclass_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,item-plant,multiclass_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,item-shippoint,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,sales-group,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,sales-incoterms,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,sales-office,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,sales-payterms,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-salt,sales-shipcond,multiclass_classification,SELECT,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,macro_f1,weighted_f1,log_loss,mrr"
rel-stack,user-badge,binary_classification,FALLBACK,"41,42,43,44","41,42,43,44","41,42,43,44",True,"accuracy,roc_auc,average_precision,log_loss"
