dataset,task,variant,n_runs,seeds,n_features_mean,n_features_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,log_loss_mean,log_loss_std
rel-stack,user-badge,dfs,4,"41,42,43,44",15.0,0.0,0.9714357027946872,0.00027674714015812364,0.8663405427348175,0.0013966480169156754,0.2933630054633033,0.00392111550975928,0.09864360519819321,0.00011304600567763232
rel-stack,user-badge,dmax2_only_random16,1,41,16.0,0.0,0.97187123582244,0.0,0.8383768915790727,0.0,0.2848548839931971,0.0,0.1016511260465198,0.0
rel-stack,user-badge,dmax2_only_supervised_ap_topk16,4,"41,42,43,44",16.0,0.0,0.9718591096128505,5.1684782627815726e-05,0.8388951471251035,0.0003783121252155429,0.29008900520665665,0.0011376190825696402,0.10166139591036977,0.0002704656974199949
rel-stack,user-badge,dmax2_only_supervised_auc_topk16,4,"41,42,43,44",16.0,0.0,0.9718510254731243,5.8084979923815847e-05,0.8383882298348374,0.0005653234949460691,0.29004157282664644,0.0009269420507357523,0.10164293680873734,0.00028842808941291243
rel-stack,user-badge,dmax2_only_topk16,1,41,16.0,0.0,0.9719237827306608,0.0,0.8392676010151369,0.0,0.2907590081231381,0.0,0.1012404399239006,0.0
rel-stack,user-badge,fdhg_dmax1,4,"41,42,43,44",23.0,0.0,0.9718045416696982,0.00022103322743378777,0.8812939923974262,0.0009562747513312195,0.3100599484793903,0.0014281966531177377,0.09617227340105897,0.00011225487224393722
rel-stack,user-badge,fdhg_dmax1_plus_dmax2_random16,4,"41,42,43,44",38.25,0.4330127018922193,0.9720248344772391,7.331650679157106e-05,0.8842505404054448,0.0009710201549683702,0.3180307580185395,0.0008031275247266106,0.09529660815513773,0.00010944791242149233
rel-stack,user-badge,fdhg_dmax1_plus_dmax2_supervised_ap_topk16,4,"41,42,43,44",39.0,0.0,0.972109717944365,0.0001202473324815458,0.8847774766843266,0.0012525352602001827,0.32077804168706486,0.0005889090916425389,0.09510002910790297,0.00012596399820645357
rel-stack,user-badge,fdhg_dmax1_plus_dmax2_supervised_auc_topk16,4,"41,42,43,44",39.0,0.0,0.9720905181125151,0.00012989375620251693,0.8848514618284524,0.0012010989888095603,0.3206360287617178,0.0005551580410968487,0.09511339083540278,0.00011447668339218687
rel-stack,user-badge,fdhg_dmax1_plus_dmax2_topk16,4,"41,42,43,44",39.0,0.0,0.9720874865601177,0.00011001189500523846,0.8846334001220916,0.0011060919858552898,0.31952538023179844,0.0006866652782045655,0.09519175166814074,8.293659760858352e-05
