dataset,task,task_family,gate_outcome,primary_metric,base_score,candidate_score,gated_score,gain,selected_residual_count,fallback_exact_match,role_in_paper
rel-arxiv,author-category,multiclass_classification,SELECT,accuracy,0.22225,0.4882499999999999,0.4882499999999999,0.2659999999999999,3.0,False,strong_positive_mechanism_case
rel-arxiv,paper-citation,binary_classification,FALLBACK,log_loss,0.530782567185184,0.530782567185184,0.530782567185184,0.0,0.0,True,real_world_negative_control
rel-ratebeer,beer-churn,relbench_v2_binary_classification,SELECT,log_loss,0.6606501209052107,0.6581038653836577,0.6581038653836577,0.00254625552155285,8.0,False,weak_positive_case
rel-ratebeer,beer_ratings-total_score_enriched,relbench_v2_autocomplete_regression_rescued,FALLBACK,rmse,,,,,0.0,True,regression_fallback_case
rel-ratebeer,brewer-dormant,relbench_v2_binary_classification,FALLBACK,log_loss,0.5510380095889558,0.5512453670494456,0.5510380095889558,0.0,0.0,True,fallback_case
rel-ratebeer,user-churn,relbench_v2_binary_classification,FALLBACK,log_loss,0.5766863242930735,0.5762785822782767,0.5766863242930735,0.0,0.0,True,fallback_case
rel-ratebeer,user-count,relbench_v2_regression,SELECT,rmse,,,,,8.0,False,regression_positive_case
rel-ratebeer,user-place-liked_pairwise,pairwise_recommendation_adapter,FALLBACK,log_loss,1.0889027886723532,1.112764772778334,1.0889027886723532,0.0,0.0,True,fallback_case
rel-salt,item-incoterms,relbench_v2_salt_multiclass,FALLBACK,accuracy,0.692375,0.690125,0.692375,-0.0022499999999999,,True,fallback_case
rel-salt,item-plant,relbench_v2_salt_multiclass,FALLBACK,accuracy,0.9662907268170426,0.9654135338345864,0.9662907268170426,-0.0008771929824561,,True,fallback_case
rel-salt,item-shippoint,relbench_v2_salt_multiclass,SELECT,accuracy,0.7492477432296891,0.809679037111334,0.809679037111334,0.0604312938816449,8.0,False,strong_positive_case
rel-salt,sales-group,,SELECT,accuracy,0.0775193798449612,0.0806201550387596,,0.0031007751937984,,False,multiclass_positive_case
rel-salt,sales-incoterms,,SELECT,accuracy,0.592,0.597,,0.005,,False,multiclass_positive_case
rel-salt,sales-office,,SELECT,accuracy,0.999375,0.999625,,0.0002499999999999,,False,multiclass_positive_case
rel-salt,sales-payterms,,SELECT,accuracy,0.2827663831915957,0.2831415707853927,,0.0003751875937969,,False,multiclass_positive_case
rel-salt,sales-shipcond,,SELECT,accuracy_then_mrr,0.2722722722722723,0.2722722722722722,,-5.551115123125783e-17,,False,multiclass_positive_case
