seed,train_path,val_path,n_train,n_val,n_features,predict_batch_size,accuracy,roc_auc,average_precision,log_loss,file,variant
41,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_all_seed41_topk64/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_all_seed41_topk64/val_combined.parquet,10000,247398,28,5000,0.971842941333398,0.8390348277359847,0.28774208818897806,0.10144999374550094,results/extension_b_dmax2/runs/rel-stack_user-badge_dmax2_all_only_seed41_filtered.json,dmax2_all_only
41,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_random_same_budget_seed41_topk16/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_random_same_budget_seed41_topk16/val_combined.parquet,10000,247398,16,5000,0.97187123582244,0.8383768915790727,0.28485488399319714,0.10165112604651981,results/extension_b_dmax2/runs/rel-stack_user-badge_dmax2_random16_only_seed41_filtered.json,dmax2_random16_only
41,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_random_same_budget_seed41_topk64/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_random_same_budget_seed41_topk64/val_combined.parquet,10000,247398,28,5000,0.9718227309840823,0.8389769275651902,0.2878068144372816,0.10148191704852912,results/extension_b_dmax2/runs/rel-stack_user-badge_dmax2_random64_only_seed41_filtered.json,dmax2_random64_only
41,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_topk_seed41_topk16/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_topk_seed41_topk16/val_combined.parquet,10000,247398,16,5000,0.9719237827306607,0.8392676010151369,0.29075900812313815,0.1012404399239006,results/extension_b_dmax2/runs/rel-stack_user-badge_dmax2_topk16_only_seed41_filtered.json,dmax2_topk16_only
41,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_topk_seed41_topk64/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_dmax2_topk_seed41_topk64/val_combined.parquet,10000,247398,28,5000,0.9717661420059984,0.8390532127630238,0.28748017044675656,0.10147404689334759,results/extension_b_dmax2/runs/rel-stack_user-badge_dmax2_topk64_only_seed41_filtered.json,dmax2_topk64_only
41,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_dfs/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_dfs/val_combined.parquet,10000,247398,15,5000,0.9709698542429608,0.8680709804227033,0.2923983393001161,0.09866982625926513,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_dfs_alone_seed41.json,regen_dmax1_dfs_alone
41,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/val_combined.parquet,10000,247398,23,5000,0.9714225660676319,0.8824660156229364,0.3096025347174123,0.09623096430824003,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_alone_seed41.json,regen_dmax1_fdhg_full_alone
42,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/val_combined.parquet,10000,247398,23,5000,0.9719439930799764,0.879981368896094,0.309430241081467,0.09619154846555078,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_alone_seed42.json,regen_dmax1_fdhg_full_alone
43,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/val_combined.parquet,10000,247398,23,5000,0.9719076144512082,0.8818893365734755,0.30873772400270827,0.09628085248403388,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_alone_seed43.json,regen_dmax1_fdhg_full_alone
44,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full/val_combined.parquet,10000,247398,23,5000,0.9719439930799764,0.8808392484971991,0.31246929411597374,0.09598572834641145,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_alone_seed44.json,regen_dmax1_fdhg_full_alone
41,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed41/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed41/val_combined.parquet,10000,247398,39,5000,0.9719399510101132,0.8849623084440755,0.31816351479213545,0.0953146456761045,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed41.json,regen_dmax1_fdhg_full_plus_dmax2_random16
42,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed42/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed42/val_combined.parquet,10000,247398,38,5000,0.9720450448265547,0.8829501976435188,0.31703358554398575,0.09546577272918227,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed42.json,regen_dmax1_fdhg_full_plus_dmax2_random16
43,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed43/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed43/val_combined.parquet,10000,247398,38,5000,0.9721339703635438,0.8853817284253722,0.3192357759125995,0.09517607140018725,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed43.json,regen_dmax1_fdhg_full_plus_dmax2_random16
44,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed44/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed44/val_combined.parquet,10000,247398,38,5000,0.9719803717087446,0.8837079271088124,0.3176901558254376,0.09522994281507709,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_random16_seed44.json,regen_dmax1_fdhg_full_plus_dmax2_random16
41,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed41/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed41/val_combined.parquet,10000,247398,39,5000,0.9719076144512082,0.8858324810496381,0.32065782777429847,0.09509135362486838,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed41.json,regen_dmax1_fdhg_full_plus_dmax2_topk16
42,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed42/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed42/val_combined.parquet,10000,247398,39,5000,0.9722067276210802,0.8831606282772543,0.31941346882679134,0.09530462060005729,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed42.json,regen_dmax1_fdhg_full_plus_dmax2_topk16
43,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed43/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed43/val_combined.parquet,10000,247398,39,5000,0.9721178020840913,0.8855606418698977,0.31882759121206566,0.0952335630367977,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed43.json,regen_dmax1_fdhg_full_plus_dmax2_topk16
44,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed44/train_combined.parquet,results/extension_b_dmax2/features/rel_stack_user_badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed44/val_combined.parquet,10000,247398,39,5000,0.9721178020840913,0.8839798492915761,0.3192026331140384,0.09513746941083985,results/extension_b_dmax2/runs/rel-stack_user-badge_regen_dmax1_fdhg_full_plus_dmax2_topk16_seed44.json,regen_dmax1_fdhg_full_plus_dmax2_topk16
