dataset,task,variant,seed,n_train_used,n_val_used,n_features,accuracy,roc_auc,average_precision,log_loss,train_parquet,val_parquet
rel-amazon,item-churn,dfs_plus_dmax2,41,10000,2000,16,0.689,0.7637429818320691,0.642661272865538,0.5926310710654944,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs_plus_dmax2,42,10000,2000,16,0.687,0.7634021470537811,0.641029169798258,0.5932252821216393,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs_plus_dmax2,43,10000,2000,16,0.686,0.7636926779039482,0.643025251992398,0.5927465335929377,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs_plus_dmax2,44,10000,2000,16,0.687,0.7639965546942291,0.6417829350625132,0.5920574457382813,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/dfs_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs,41,10000,2000,5,0.6795,0.7581397402058765,0.6373106907443531,0.602718675441459,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs,42,10000,2000,5,0.6795,0.7583722675470881,0.6369068204376906,0.6026738948704297,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs,43,10000,2000,5,0.6795,0.7581371736789316,0.6369102228524948,0.6028412908660989,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,dfs,44,10000,2000,5,0.679,0.7580221932717983,0.6367143504816988,0.6027098201321424,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/dfs_agg/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_dmax1,41,10000,2000,13,0.6785,0.7590611233791098,0.6387963145199838,0.6008156159621064,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_dmax1,42,10000,2000,13,0.6805,0.7592607991754262,0.6397691709439612,0.6009454763549565,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_dmax1,43,10000,2000,13,0.6775,0.7590842221216143,0.6392062432907555,0.6020157763404502,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_dmax1,44,10000,2000,13,0.6775,0.759061636684499,0.6384291642838209,0.6015649767478121,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_train.parquet,outputs/fdhg_heuristic/rel-amazon_item-churn_sample/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_plus_dmax2,41,10000,2000,24,0.685,0.76549745965163,0.6436815431670163,0.5901153334935296,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_plus_dmax2,42,10000,2000,24,0.6835,0.7658957846334845,0.6448557481983654,0.5898073581249358,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_plus_dmax2,43,10000,2000,24,0.685,0.7655487901905287,0.64461184829577,0.5904816599286968,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_val.parquet
rel-amazon,item-churn,fdhg_plus_dmax2,44,10000,2000,24,0.6825,0.7650898951727736,0.6438227124179443,0.5909093820703931,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_train.parquet,outputs/stage_c_dmax2_sampled/rel-amazon_item-churn/fdhg_plus_dmax2/target_with_dfs_agg_val.parquet
